current_streams,current_listeners,repeat_rate,skip_rate,completion_rate,save_rate,share_rate,playlist_add_rate,avg_stream_growth,max_stream_growth,growth_acceleration,future_streams,hit
614535,434941,0.2756235903260442,0.2780541384949596,0.6725133637628451,0.0812983829990734,0.0310042051680572,0.0476616368656898,0.0,0.0,0.0,7356000,0
643275,466954,0.3390805090008866,0.2203723135517469,0.7493886751389375,0.1138249163729189,0.0428414790321958,0.0782732346226823,0.0,0.0,0.0,8400107,1
577608,429256,0.292473489013549,0.2823714352986801,0.6469110538635199,0.0679524572749128,0.0247614477141845,0.0389045231749818,0.0,0.0,0.0,6956104,0
455407,329051,0.1762188840027837,0.3350673134141548,0.5719828636801806,0.0361190210636041,0.0086065685866324,0.0144871159789819,0.0,0.0,0.0,5447408,0
483584,343816,0.2029050422318914,0.3415621691371096,0.564644405108523,0.0327238988296065,0.0111396793633804,0.0174977313446727,0.0,0.0,0.0,6590398,0
463133,330171,0.1716231891959015,0.3256127289569087,0.5640086109173823,0.0294241468814644,0.0101644299469063,0.0193536076760224,0.0,0.0,0.0,5707698,0
465139,338478,0.2048670814646742,0.3405691631963778,0.586680540655589,0.0374293159378157,0.0098647474872813,0.0169021324871926,0.0,0.0,0.0,6255826,0
605095,451065,0.3442031636238679,0.2311372594386005,0.7268214082086284,0.1052398213117843,0.0380432975291809,0.0632259208761486,0.0,0.0,0.0,6460897,0
472769,338359,0.2868639521927893,0.260002242109783,0.6827287745177878,0.0895380350456172,0.0301425409106895,0.055905118527954,0.0,0.0,0.0,6113492,0
390821,289231,0.1776642199487606,0.3367986878903641,0.5559757536058707,0.0272550314454536,0.0062545162862901,0.0131763192742133,0.0,0.0,0.0,5626511,0
551506,395998,0.2867312461174046,0.2128807302187102,0.7670922891138083,0.1212203091934807,0.0459825554674518,0.0725533967343269,0.0,0.0,0.0,7561911,0
589516,436343,0.2821014660484985,0.2586392905366436,0.6942033804001927,0.0857834318414641,0.0330061442489051,0.0558322237322473,0.0,0.0,0.0,8609877,1
376137,273243,0.1690473314961408,0.344129931381385,0.5585916833494179,0.0279092236580626,0.0073853676031956,0.0162163349106838,0.0,0.0,0.0,4390843,0
569757,421702,0.242384432608809,0.2864905565004028,0.644248337449123,0.0655178301264874,0.0228336597881916,0.0409459760684084,0.0,0.0,0.0,7279698,0
549844,418075,0.2793517909466005,0.2829220651675748,0.6687933304719157,0.0773019195120492,0.0265598277820965,0.0453363630927465,0.0,0.0,0.0,6502956,0
488184,361924,0.187467534620528,0.3194123527194664,0.6088523999147862,0.0470153954973972,0.0182165316475282,0.027221184558084,0.0,0.0,0.0,6824865,0
461978,322365,0.2186713818187458,0.3077549147361995,0.6092800955889675,0.0529306841623625,0.0190994679943542,0.0300901152420393,0.0,0.0,0.0,6368833,0
471836,345085,0.185467348624252,0.3014119312642528,0.6256919777210725,0.0598055551530782,0.0180998884332845,0.0346726168914905,0.0,0.0,0.0,5504945,0
517490,365351,0.3590848252776097,0.2047498502386519,0.7859688109915167,0.1348566173351106,0.050143560575994,0.0866290225016491,0.0,0.0,0.0,7540500,0
557437,399294,0.2640760943064509,0.2751521696622219,0.6504591550255904,0.0707273337440582,0.0249264952641412,0.0399279728721192,0.0,0.0,0.0,7084393,0
554923,384850,0.2168533194751201,0.3053036187002521,0.6091710021029945,0.0469715473561127,0.0148291542159282,0.0262803689749252,0.0,0.0,0.0,7072338,0
527429,390699,0.1800798056816116,0.2992952605943169,0.614507355492398,0.0494037609515253,0.018674222355317,0.02741752602387,0.0,0.0,0.0,7166265,0
542893,390715,0.2669234608346237,0.2793147084232067,0.6649284481472408,0.0724287524154434,0.0274138438503768,0.0440141791331277,0.0,0.0,0.0,6344242,0
465848,357780,0.1862317625356364,0.3235475949236661,0.5968448936133675,0.0464978478394544,0.013622896752194,0.0219771926882441,0.0,0.0,0.0,5795009,0
664981,483020,0.3818434019295267,0.2056585075363055,0.7503417390872822,0.1180696451492691,0.0449857148772307,0.080249265040785,0.0,0.0,0.0,7238738,0
489328,376934,0.2356168453893785,0.3089277539809698,0.614238302324821,0.0460266253508571,0.0147320220516058,0.0298699507075509,0.0,0.0,0.0,6091247,0
559665,409468,0.2274463450135297,0.3007870779841512,0.6218791598545559,0.0613845282171012,0.0201920540799281,0.0324738441099182,0.0,0.0,0.0,6869111,0
562415,431256,0.2577077188491291,0.2984326520451979,0.638784527439702,0.0616362439015341,0.0201110245422672,0.0346012577216317,0.0,0.0,0.0,6233305,0
504956,358164,0.2048865882668274,0.3115221920325731,0.6158279137192152,0.0464284517706972,0.0171178566243396,0.031181246579779,0.0,0.0,0.0,5993780,0
